"eventId","category","location","startDate","startTime","maxVolunteers","requiredSkillId","attendance_count"
"26","Environment","Negombo Beach","2026-02-21","09:00:00","30","6","8"
"27","Community","Raddolugama Public Library","2026-02-21","15:00:00","20","0","6"
"28","Education","Alawathupitiya School","2026-02-21","19:00:00","8","1","0"
"29","Health","Raddolugama Primary School","2026-02-23","12:30:00","20","3","7"
"30","Community","Alawathupitiya School","2026-02-23","18:00:00","20","12","18"
"31","Environment","Alawathupitiya Temple","2026-02-24","12:30:00","20","6","12"
"32","Health","Alawathupitiya Temple","2026-02-25","06:00:00","30","0","10"
"33","Community","Alawathupitiya Temple","2026-02-25","13:30:00","30","6","12"
"34","Community","Alawathupitiya School","2026-02-25","17:30:00","15","12","10"
"35","Community","Alawathupitiya School","2026-02-25","06:35:00","6","12","3"
"36","Community","Alawathupitiya Temple","2026-02-25","19:40:00","3","0","2"
"37","Charity","Alawathupitiya School","2026-02-25","19:30:00","3","5","2"
"38","Arts & Culture","Alawathupitiya School","2026-02-25","20:05:00","5","8","2"
"39","Sports","Nawaloka Playground","2026-02-25","20:35:00","5","0","4"
"40","Animal Welfare","Uswetakeiyawa Beach","2026-02-25","21:05:00","10","3","4"
"41","Charity","Alawathupitiya ","2026-02-25","21:35:00","5","6","0"
"42","Technology","Alawathupitiya","2026-02-25","22:05:00","11","11","4"
"43","Education","Alawathupitiya ","2026-02-25","22:30:00","5","2","0"
"44","Charity","Alawathupitiya ","2026-02-25","23:05:00","3","4","2"
"45","Arts & Culture","Alawathupitiya ","2026-02-25","11:35:00","2","6","0"
"46","Environment","Alawathupitiya ","2026-02-26","00:00:00","6","4","2"
"47","Health","Alawathupitiya Temple","2026-02-26","01:00:00","10","0","3"
"48","Environment","Seeduwa","2026-02-26","02:00:00","12","6","0"
"49","Arts & Culture","Seeduwa","2026-02-26","03:05:00","5","1","0"
"50","Community","Alawathupitiya Temple","2026-02-26","05:00:00","6","2","2"
"51","Health","Alawathupitiya Temple","2026-02-26","06:00:00","5","2","3"
"52","Environment","Negombo Beach","2026-02-26","11:00:00","20","6","2"
"53","Health","Davi Samara Maha Vidyalaya","2026-02-26","12:00:00","20","3","5"
"54","Sports","Maris Stella College | Playground","2026-02-26","12:00:00","10","7","0"
"55","Charity","Guruge Nature Park","2026-02-26","13:35:00","10","4","2"
"56","Community","Seeduwa Happy Kids Pre-School","2026-02-26","01:00:00","7","7","0"
"57","Technology","Ave Maria Convent, Bolawalana","2026-02-26","14:00:00","2","11","3"
"58","Environment","Davi Samara Maha Vidyalaya","2026-02-26","15:00:00","10","6","5"
"59","Environment","Seeduwa Railway Station","2026-02-26","15:30:00","12","6","1"
"60","Sports","Raddolugama Ground Pavilion","2026-02-26","16:00:00","3","2","2"
"61","Charity","Raddolugama Primary School","2026-02-26","16:30:00","5","10","0"
"62","Environment","Negombo Beach","2026-02-26","17:30:00","8","6","4"
"63","Arts & Culture","Loyola College Negombo","2026-02-26","18:05:00","6","2","2"
